FLAG;PITCH;ROLL;YAW
0;72.12;12.98;334.85
0;73.03;13.33;334.96
0;73.36;13.48;335.19
0;73.95;13.82;335.88
0;74.15;13.95;336.19
0;74.84;14.45;337.55
0;75.20;14.75;338.44
0;75.53;15.04;339.33
0;75.87;15.37;340.34
0;76.14;15.66;341.30
0;76.23;15.79;341.78
0;76.31;15.91;342.26
0;76.03;16.21;345.89
0;75.65;16.26;347.20
0;75.33;16.30;348.12
0;75.06;16.31;348.85
0;74.87;16.29;349.37
0;74.70;16.26;349.73
0;74.55;16.25;349.98
0;74.43;16.23;346.43
0;74.29;16.18;346.18
0;74.01;16.07;346.48
0;73.92;16.01;346.60
0;73.56;15.75;343.24
0;73.33;15.56;343.63
0;73.11;15.38;343.98
0;72.91;15.20;343.66
0;72.74;15.03;340.79
0;72.57;14.85;341.04
0;72.41;14.67;341.26
0;72.11;14.34;339.03
0;71.99;14.21;338.08
0;71.88;14.09;338.26
0;71.77;13.98;338.47
0;71.68;13.90;337.64
0;71.61;13.84;335.02
0;71.58;13.81;335.13
0;71.55;13.78;335.33
0;71.56;13.78;335.44
0;71.58;13.79;332.97
0;71.67;13.82;332.38
0;71.73;13.84;332.55
0;71.80;13.85;331.42
0;71.87;13.87;329.77
0;71.94;13.87;329.98
0;72.00;13.88;330.20
0;75.43;15.23;331.29
0;75.83;15.37;329.07
0;75.89;15.38;328.76
0;76.00;15.39;329.21
0;76.06;15.41;327.81
0;76.11;15.43;326.04
0;76.16;15.46;326.16
0;76.21;15.49;326.25
0;76.26;15.52;326.08
0;76.29;15.54;323.51
0;76.31;15.56;323.32
0;76.32;15.57;323.40
0;76.20;15.49;321.82
0;76.02;15.36;320.40
0;75.88;15.26;320.41
0;75.81;15.21;320.42
0;75.70;15.13;320.54
0;75.65;15.09;317.45
0;75.60;15.05;317.57
0;75.54;15.01;317.68
0;75.50;14.98;317.76
0;75.39;14.90;314.96
0;75.34;14.86;315.04
0;75.30;14.82;315.10
0;75.26;14.78;314.44
0;75.22;14.74;312.32
0;75.18;14.70;312.36
0;75.16;14.66;312.38
0;75.14;14.63;312.38
0;75.15;14.60;310.30
0;75.18;14.54;309.39
0;75.21;14.52;309.36
0;75.26;14.50;308.48
0;75.31;14.50;306.44
0;75.35;14.49;306.40
0;75.39;14.50;306.36
0;75.41;14.51;306.35
0;75.43;14.51;306.33
0;75.50;14.54;303.76
0;75.59;14.60;303.63
0;75.64;14.63;302.59
0;75.69;14.65;300.98
0;75.75;14.68;300.80
0;75.81;14.70;300.64
0;75.87;14.71;300.45
0;75.93;14.72;297.87
0;76.00;14.72;297.39
0;76.06;14.72;297.12
0;76.16;14.69;294.98
0;76.19;14.68;293.62
0;76.21;14.66;293.30
0;76.23;14.65;292.98
1;76.23;14.61;292.36
0;76.21;14.51;289.64
0;76.15;14.24;288.86
0;76.10;14.00;288.26
0;76.05;13.77;287.69
0;76.08;12.80;280.24
0;75.99;12.20;277.96
0;75.74;11.50;275.91
0;75.32;10.62;273.74
0;74.76;9.62;271.47
0;74.05;8.48;269.11
0;73.36;7.55;267.02
0;72.50;6.65;264.58
0;71.61;5.96;262.24
0;69.19;4.82;256.38
0;67.57;4.51;252.94
0;66.01;4.44;249.98
0;64.39;4.54;247.22
0;62.52;4.84;244.39
0;60.52;5.32;241.77
0;58.62;5.94;239.68
0;56.51;6.74;237.70
0;54.50;7.56;236.20
0;49.39;9.80;233.89
0;46.00;11.45;233.33
0;43.88;12.57;233.22
0;42.49;13.37;233.25
0;39.44;15.24;233.45
0;33.46;19.26;234.35
0;30.06;21.56;235.10
0;28.09;22.80;235.59
0;26.28;23.92;236.05
0;13.13;29.95;239.94
0;7.46;31.84;241.69
0;2.78;33.32;243.16
0;-2.16;34.83;244.75
0;-7.16;36.23;246.43
0;-12.24;37.47;248.24
0;-17.33;38.50;250.20
0;-22.31;39.29;252.29
0;-26.44;39.66;254.24
0;-30.67;39.81;256.39
0;-39.24;39.16;261.42
0;-43.17;38.23;264.18
0;-46.32;37.11;266.68
0;-47.82;36.38;268.02
0;-49.39;35.56;269.48
0;-51.71;33.97;271.95
0;-55.70;29.85;277.28
0;-57.28;27.48;279.85
0;-58.40;25.42;281.83
0;-60.39;20.78;285.61
0;-61.57;17.40;287.86
0;-62.35;15.07;289.28
0;-63.27;12.33;290.88
0;-63.70;11.10;291.59
0;-64.14;9.87;292.30
0;-66.23;4.71;295.61
0;-67.32;2.36;297.33
0;-68.42;0.18;299.06
0;-71.01;-4.53;303.27
0;-72.50;-7.13;306.02
0;-73.76;-9.33;308.70
0;-74.92;-11.39;311.56
0;-76.13;-13.70;315.16
0;-77.06;-15.65;318.40
0;-77.94;-17.76;321.92
0;-78.35;-18.87;323.74
0;-78.66;-19.72;325.12
0;-79.70;-22.82;329.94
0;-80.79;-26.12;334.73
0;-81.17;-27.27;336.34
0;-82.06;-30.00;339.94
0;-82.30;-30.66;340.77
0;-82.53;-31.32;341.60
0;-84.36;-35.41;346.37
0;-84.57;-35.80;346.82
0;-84.77;-36.19;347.27
0;-84.98;-36.57;347.73
0;-86.04;-38.36;349.92
0;-88.80;-41.69;355.39
0;-89.10;-41.66;355.69
0;-89.37;-41.31;355.54
0;-89.31;-40.63;355.17
0;-88.95;-39.84;354.88
0;-88.62;-39.29;354.72
0;-88.31;-38.85;354.60
0;-87.12;-36.63;353.04
0;-86.46;-34.79;350.70
0;-86.05;-33.57;349.02
0;-85.65;-32.08;346.82
0;-85.47;-31.24;345.44
0;-85.29;-30.39;344.06
0;-84.17;-26.76;337.90
0;-83.19;-24.81;334.89
0;-82.12;-23.01;332.44
0;-81.15;-21.51;330.57
0;-80.38;-20.38;329.29
0;-78.03;-16.98;325.67
0;-77.62;-16.39;325.06
0;-77.21;-15.79;324.46
0;-76.80;-15.20;323.85
0;-76.39;-14.61;323.25
0;-65.71;-1.10;305.35
0;-64.24;0.39;303.08
0;-60.63;3.93;297.99
0;-59.49;4.99;296.62
0;-57.58;6.68;294.47
0;-53.78;9.76;290.81
0;-49.92;12.57;287.55
0;-47.39;14.20;285.59
0;-44.27;16.00;283.32
0;-41.15;17.59;281.19
0;-38.47;18.85;279.47
0;-32.11;21.74;275.66
0;-28.33;23.46;273.56
0;-24.72;25.06;271.64
0;-21.25;26.51;269.84
0;-16.95;27.97;267.72
0;-12.82;28.94;265.77
0;-8.87;29.42;264.03
0;-4.72;29.49;262.30
0;-0.52;29.13;260.65
0;7.23;27.55;257.81
0;11.37;26.32;256.39
0;15.08;25.00;255.20
0;18.06;23.78;254.31
0;21.89;22.05;253.32
0;25.21;20.54;252.58
0;29.12;18.92;251.71
0;32.51;17.73;250.89
0;35.84;16.74;250.03
0;42.26;14.96;248.20
0;45.58;13.93;247.26
0;48.48;12.97;246.59
0;51.72;11.85;246.06
0;54.17;11.03;245.77
0;56.50;10.35;245.56
0;57.79;10.05;245.43
0;58.96;9.79;245.31
0;63.35;9.17;244.76
0;65.45;9.01;244.46
0;69.33;8.76;243.94
0;71.67;8.59;243.86
0;73.36;8.44;243.96
0;75.21;8.28;244.36
0;76.57;8.17;244.92
0;78.01;8.10;245.85
0;79.44;8.10;247.20
0;80.59;8.17;248.66
0;81.64;8.32;250.25
0;83.46;8.79;253.77
0;83.92;8.95;255.36
0;84.03;9.09;256.71
0;84.29;9.25;257.96
0;84.54;9.39;258.77
0;84.72;9.63;259.43
0;84.83;9.88;259.93
0;84.88;10.14;260.28
0;84.91;10.41;260.53
0;85.06;11.04;261.21
0;85.17;11.34;261.89
0;85.16;11.59;262.68
0;85.06;11.81;263.51
0;84.89;12.04;264.36
0;84.73;12.25;265.07
0;84.55;12.47;265.62
0;84.37;12.68;265.98
0;84.17;12.89;266.21
0;83.70;13.32;266.24
0;83.48;13.53;266.06
0;83.30;13.69;265.83
0;83.10;13.85;265.56
0;83.03;13.90;265.48
0;82.95;13.94;265.40
0;82.88;13.99;265.32
0;82.18;14.25;264.79
0;81.83;14.31;264.57
0;81.30;14.31;264.20
0;81.07;14.27;264.00
0;80.89;14.22;263.57
0;80.73;14.17;260.92
0;80.61;14.12;260.75
0;80.51;14.08;260.60
0;80.45;14.06;260.52
0;80.42;14.07;259.27
0;80.42;14.11;258.29
0;80.52;14.24;258.54
0;80.58;14.29;258.64
0;80.81;14.49;256.79
0;81.03;14.68;257.16
0;81.18;14.81;257.52
0;81.33;14.95;258.02
0;81.44;15.07;257.27
0;81.50;15.15;257.38
0;81.53;15.21;258.16
0;81.43;15.23;259.69
0;81.28;15.22;259.43
0;81.12;15.19;260.33
0;80.95;15.15;261.23
0;80.84;15.13;261.83
0;80.75;15.12;260.98
0;80.69;15.13;260.96
0;80.66;15.15;261.10
0;80.65;15.20;261.12
0;80.68;15.30;259.22
0;80.71;15.36;259.13
0;80.73;15.42;259.08
0;80.73;15.45;259.09
0;80.72;15.50;257.97
0;80.70;15.56;257.55
0;80.68;15.59;257.69
0;80.66;15.61;257.84
0;80.64;15.65;257.95
0;80.64;15.67;257.32
0;80.63;15.68;256.69
0;80.65;15.82;256.97
0;80.66;15.85;256.25
0;80.70;15.89;256.42
0;80.73;15.93;256.55
0;80.78;15.96;256.66
0;80.81;15.99;255.91
0;80.85;16.02;255.40
0;80.90;16.06;255.65
0;80.93;16.09;255.41
0;80.29;16.16;254.52
0;76.96;16.41;254.98
0;76.98;16.43;255.13
0;76.99;16.45;255.30
0;77.00;16.46;254.98
0;77.00;16.46;254.54
0;77.00;16.47;254.53
0;76.98;16.50;254.73
0;76.96;16.52;253.92
0;76.95;16.55;254.02
0;76.95;16.59;254.10
0;76.94;16.63;254.16
0;76.95;16.63;253.32
0;76.96;16.67;253.14
0;76.97;16.72;253.13
0;76.99;16.77;253.12
0;77.01;16.89;252.19
0;77.03;16.96;252.19
0;77.04;17.01;252.20
0;77.06;17.06;252.06
0;77.07;17.10;251.28
0;77.09;17.14;251.29
0;77.14;17.17;251.29
0;77.20;17.20;251.28
0;77.25;17.22;250.82
0;77.28;17.24;250.27
0;77.34;17.27;250.20
0;77.36;17.30;249.98
0;77.37;17.31;249.13
0;77.38;17.32;249.10
0;77.38;17.32;249.07
0;77.38;17.31;249.03
0;77.38;17.29;248.48
0;77.38;17.26;248.08
0;77.38;17.24;248.02
0;77.37;17.20;247.72
0;77.37;17.20;247.04
0;77.36;17.19;246.99
0;77.34;17.20;246.95
0;77.31;17.20;246.92
0;77.28;17.20;246.44
0;77.25;17.20;246.16
0;77.23;17.21;246.16
0;77.22;17.21;246.16
0;77.23;17.24;245.35
0;77.24;17.27;245.35
0;77.24;17.29;245.35
0;77.25;17.31;245.36
0;77.31;17.33;244.63
0;77.37;17.34;244.50
0;77.42;17.35;244.52
0;77.48;17.35;244.54
0;77.53;17.35;244.31
0;77.60;17.34;243.89
0;77.63;17.33;243.89
0;77.64;17.33;243.89
0;77.65;17.33;243.88
0;77.71;17.29;243.20
0;77.74;17.28;243.18
0;77.76;17.25;243.15
0;77.79;17.23;242.97
0;77.81;17.21;242.65
0;77.88;17.23;242.30
0;77.92;17.24;242.07
0;77.95;17.26;241.52
0;77.96;17.27;241.46
0;77.98;17.27;241.40
0;78.01;17.31;241.13
0;78.02;17.34;240.59
0;78.02;17.38;240.10
0;78.00;17.42;239.95
0;77.93;17.48;239.53
0;77.85;17.46;238.44
0;77.79;17.40;238.12
0;77.70;17.29;237.60
1;77.64;17.18;237.14
0;77.58;17.08;236.72
0;77.39;16.81;234.18
0;77.23;16.65;233.23
0;77.02;16.45;232.29
0;76.49;15.96;229.26
0;76.37;15.86;228.78
0;76.25;15.75;228.30
0;76.13;15.64;227.82
0;75.00;14.79;222.74
0;74.41;14.57;220.69
0;73.65;14.33;218.83
0;72.71;14.03;217.19
0;71.60;13.67;215.72
0;68.71;12.79;212.91
0;66.73;12.29;211.18
0;65.07;11.98;209.73
0;63.10;11.87;208.03
0;61.03;12.05;206.31
0;58.96;12.53;204.72
0;56.69;13.34;203.11
0;54.27;14.44;201.56
0;51.78;15.76;200.24
0;46.96;18.40;198.62
0;43.06;20.32;198.20
0;40.13;21.66;198.18
0;37.43;22.79;198.41
0;33.37;24.38;198.94
0;29.66;25.77;199.55
0;25.78;27.30;200.24
0;21.96;28.96;200.92
0;18.51;30.64;201.56
0;11.32;34.60;203.02
0;6.22;37.67;204.29
0;2.52;39.90;205.34
0;-1.78;42.35;206.72
0;-6.35;44.65;208.31
0;-10.83;46.51;209.98
0;-15.71;48.06;211.92
0;-20.51;49.12;213.94
0;-24.38;49.67;215.66
0;-26.05;49.70;216.47
0;-27.72;49.74;217.28
0;-29.39;49.78;218.09
0;-46.17;43.25;229.31
0;-48.05;40.87;231.21
0;-49.95;37.73;233.33
0;-51.39;34.77;235.06
0;-52.78;31.70;236.73
0;-54.24;28.60;238.41
0;-55.46;26.19;239.78
0;-59.04;20.10;244.27
0;-59.84;18.87;245.44
0;-60.63;17.64;246.61
0;-63.64;13.11;251.63
0;-65.25;10.65;254.63
0;-66.17;9.24;256.40
0;-66.65;8.49;257.38
0;-67.13;7.74;258.37
0;-69.21;4.36;262.90
0;-73.62;-4.28;275.11
0;-74.50;-6.42;278.23
0;-74.98;-7.77;280.19
0;-75.43;-9.03;282.02
0;-76.95;-13.98;288.92
0;-77.49;-15.93;291.46
0;-77.86;-17.24;293.11
0;-79.14;-21.81;298.65
0;-79.89;-24.55;301.98
0;-80.99;-29.90;308.62
0;-81.15;-31.35;310.39
0;-81.31;-32.80;312.16
0;-81.95;-38.07;317.94
0;-82.45;-40.21;319.95
0;-83.17;-42.12;321.54
0;-84.14;-43.73;322.63
0;-85.37;-44.99;323.21
0;-86.70;-45.84;323.37
0;-88.40;-46.46;323.38
0;-88.20;-46.28;323.51
0;-87.29;-45.80;323.64
0;-86.24;-45.08;323.56
0;-85.57;-44.52;323.39
0;-85.08;-44.03;323.18
0;-84.58;-43.54;322.97
0;-83.11;-40.92;320.82
0;-81.99;-37.71;317.45
0;-81.61;-36.65;316.26
0;-81.23;-35.59;315.07
0;-79.32;-30.75;309.44
0;-77.26;-25.48;302.72
0;-76.18;-22.86;299.07
0;-75.49;-21.29;296.77
0;-74.97;-20.16;295.06
0;-73.03;-16.32;288.96
0;-72.28;-14.95;286.74
0;-70.13;-10.99;280.43
0;-67.07;-5.70;272.70
0;-65.49;-3.36;269.55
0;-64.63;-2.19;268.05
0;-63.85;-1.14;266.73
0;-60.64;2.86;262.04
0;-58.56;5.28;259.44
0;-57.17;6.85;257.85
0;-56.57;7.49;257.22
0;-55.98;8.14;256.59
0;-55.38;8.78;255.96
0;-45.70;19.01;247.44
0;-42.78;21.94;245.25
0;-40.00;24.53;243.29
0;-36.98;27.00;241.31
0;-33.99;29.05;239.50
0;-30.74;30.87;237.67
0;-26.74;32.61;235.62
0;-22.58;34.09;233.63
0;-14.02;36.35;229.93
0;-10.03;36.97;228.40
